UFN,UFN,BOX #,WELL #,UFN,NOTES
3208,U3208,PI4,12,U3208,
3209,U3209,PI4,14,U3209,
3210,U3210,PI4,16,U3210,
3211,U3211,PI4,18,U3211,
3212,U3212,PI4,20,U3212,
3213,U3213,PI4,21,U3213,
3218,U3218,PI4,23,U3218,
3217,U3217,PI4,25,U3217,
3216,U3216,PI4,27,U3216,
3215,U3215,PI4,29,U3215,
3214,U3214,PI4,32,U3214,
3219,U3219,PI4,34,U3219,
3220,U3220,PI4,36,U3220,
3221,U3221,PI4,38,U3221,
3222,U3222,PI4,40,U3222,
3223,U3223,PI4,41,U3223,
3224,U3224,PI4,43,U3224,
3225,U3225,PI4,45,U3225,
3229,U3229,PI4,54,U3229,
3230,U3230,PI4,56,U3230,
3234,U3234,PI4,63,U3234,
3235,U3235,PI4,65,U3235,
3236,U3236,PI4,67,U3236,
2538,U2538,PI4,96,U2538,
2537,U2537,PI4,98,U2537,
2536,U2536,PI4,100,U2536,
