sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7219331,S22072RG1,S22072RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.3,597164,elab JSP,,,Collected,Gill
7219334,S22080RG1,S22080RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.3,597164,elab JSP,,,Collected,Gill
7219337,S22073RG1,S22073RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.9,597164,elab JSP,,,Collected,Gill
7219340,S22074RG1,S22074RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.9,597164,elab JSP,,,Collected,Gill
7219341,S20569RG1,S20569RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.9,597164,elab JSP,,,Collected,Gill
7219344,S20570RG1,S20570RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.9,597164,elab JSP,,,Collected,Gill
7219346,S20568RG1,S20568RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.9,597164,elab JSP,,,Collected,Gill
7219347,S20566RG1,S20566RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.9,597164,elab JSP,,,Collected,Gill
7220496,S21661RG1,S21661RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.10,597164,elab JSP,,,Collected,Gill
7220498,S21662RG1,S21662RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.10,597164,elab JSP,,,Collected,Gill
7220501,S21663RG1,S21663RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.10,597164,elab JSP,,,Collected,Gill
7220504,S21664RG1,S21664RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.10,597164,elab JSP,,,Collected,Gill
