seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN427,DE327,1,targeted,9,11:23:00,50.191383,-125.143884,30,100,10,30,10,30,0,0,0,0,NA,NA,1,"Released first set, then remembered Brett's request for trainer fish. 10 or more fish escaped from the net through gaps between net and corks."
DN428,DE327,2,targeted,9,14:00:00,50.191383,-125.143884,30,300,0,100,0,100,0,0,0,0,NA,NA,1,"Took 30 sockeye to train lab personnel. Set time not taken, but estimated to be 14:00."
DN429,DE329,1,targeted,3,09:23:00,50.30661,-125.335266,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"DFO set at 09:30. No fish in our first set but large school observed. 3 CTD drops total: 1 practice, 1 @ oceanography site (65m), 1 @ fish site (10m)"
DN430,DE329,2,targeted,3,09:36:00,50.30661,-125.335266,14,14,10,20,10,30,0,0,0,0,NA,NA,1,"DFO set at 09:30. No fish in our first set but large school observed. 3 CTD drops total: 1 practice, 1 @ oceanography site (65m), 1 @ fish site (10m), catch enumerated (sockeye: 14, chum: 36, pink: 27)"
DN431,DE331,1,targeted,7,13:00:00,50.236643,-125.39734,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
DN432,DE331,2,targeted,7,13:45:00,50.236643,-125.39734,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
DN433,DE331,3,targeted,7,14:37:00,50.236643,-125.39734,0,0,0,0,0,0,0,0,0,0,NA,NA,1,3rd set caught approximately 300 fish. Current caused issues and needed to release set.
DN434,DE334,NA,NA,20,16:51:00,50.274476,-125.377946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN435,DE335,1,targeted,0,06:33:00,50.382455,-125.373533,0,0,0,0,0,0,0,1,0,0,NA,NA,1,1st set: 1 coho only
DN436,DE335,2,targeted,0,07:00:00,50.382455,-125.373533,60,100,10,200,10,200,0,0,0,0,NA,NA,1,2nd set: 0700. 30 sockeye taken as trainer fish.
